id,cost,talktime,validity,short description,long description
6457,8,,30 days,Recharge of Rs. 8 by BSNL,On-net (Local/STD) calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
6458,19,,90 days,Recharge of Rs. 19 by BSNL,On-net (Local/STD)calls @15 paisa/min + Off-net (Local/STD) calls @35 paisa/min
6459,29,,30 days,Recharge of Rs. 29 by BSNL,Maha Krishi STV-29 : Free 150 Minutes calls to other network
6460,30,,1 day,Recharge of Rs. 30 by BSNL,72 Min Local/STD Any-Net
6461,44,,25 days,Recharge of Rs. 44 by BSNL,Local call any-net calls @1.4p/2 sec
6462,47,,21 days,Recharge of Rs. 47 by BSNL,Local onnet calls @20ps/min
6463,61,,8 days,Recharge of Rs. 61 by BSNL,5600 Sec Local or STD to any network
6464,65,,27 days,Recharge of Rs. 65 by BSNL,Local onnet calls at 15p/mins
6465,66,,21 days,Recharge of Rs. 66 by BSNL,All local anynet calls at 1.3p/2sec
6466,122,,75 days,Recharge of Rs. 122 by BSNL,Local any net 1.4P per 2Sec
6467,135,,28 days,Recharge of Rs. 135 by BSNL,275 min free to any network (Local/STD)
6468,159,,28 days,Recharge of Rs. 159 by BSNL,20300 Seconds Local/STD Voice Calls Anynet
6469,164,,5 days,Recharge of Rs. 164 by BSNL,Unlimited Local plus STD onnet calls
6470,181,,30 days,Recharge of Rs. 181 by BSNL,23800 Sec Local/STD Voice Calls to Any N/w
6471,344,,24 days,Recharge of Rs. 344 by BSNL,UNLIMITED Local Onnet free
6472,359,,60 days,Recharge of Rs. 359 by BSNL,Free 52000 Secs to Any Network Local and STD Calls
6473,449,,84 days,Recharge of Rs. 449 by BSNL,1400 min. Local/STD any net
6474,574,,27 days,Recharge of Rs. 574 by BSNL,Unlimited Local On-net call & 500 Min free Local/STD calls Anynet
6475,699,,28 days,Recharge of Rs. 699 by BSNL,UNLIMITED LOCAL or STD ONNET CALLS
6476,894,,81 days,Recharge of Rs. 894 by BSNL,Unlimited Local OnNet calls
6477,1494,,81 days,Recharge of Rs. 1494 by BSNL,Unlimited Local Onnet call and 1500 Min free Local or STD calls Any net 
