id,cost,talktime,validity,short description,long description
2635,23,,30 days,Recharge of Rs. 23 by Airtel,Discounted calling to multiple countries
2636,71,,10 days,Recharge of Rs. 71 by Airtel,10 ISD min to Nepal
2637,498,,1 day,Recharge of Rs. 498 by Airtel,"Unlimited incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight"
2638,646,,1 day,Recharge of Rs. 646 by Airtel,Free benefits: 100 Min incoming -- 500 MB Data -- 100 SMS/Day -- 100 Min Loc/Call to India
2639,647,,1 day,Recharge of Rs. 647 by Airtel,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
2640,993,,1 day,Recharge of Rs. 993 by Airtel,"100min incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight. "
2641,997,,30 days,Recharge of Rs. 997 by Airtel,"IR Pack: 30 mins Free incoming -- Thereafter charged Incoming @Rs19/min, Outgoing @Rs39/min, Data @39p/10KB, Rs15/SMS"
2642,998,,30 days,Recharge of Rs. 998 by Airtel,"IR Pack:30 MB data Free -- Thereafter charged @39p/10kb,  Outgoing @Rs39/min, Incoming @Rs19/min -- Rs15/SMS"
2643,1199,,10 days,Recharge of Rs. 1199 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2644,2494,,30 days,Recharge of Rs. 2494 by Airtel,"Smartpacks-Singapore,Thailand,Malaysia:3 GB Data -- Unltd incoming -- 400min India calls -- 100 SMS/Day -- Tariff: Calls to India/Local: @Rs3/m, Intl.calls: @Rs39/m -- Data: @Rs3/MB"
2645,2499,,30 days,Recharge of Rs. 2499 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2646,2899,,30 days,Recharge of Rs. 2899 by Airtel,"Thailand Smartpack: 1GB data -- Unlimited incomings -- 299min India calls -- Tariff: Calls to India/Local;Rs10/min, Intl.calls;Rs39/min -- SMS:Rs10 -- Data:Rs10/MB"
2647,2998,,10 days,Recharge of Rs. 2998 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2648,2999,,10 days,Recharge of Rs. 2999 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2649,3995,,10 days,Recharge of Rs. 3995 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100 sms/Day -- 250 min local/call to India
2650,3996,,30 days,Recharge of Rs. 3996 by Airtel,"UAE Smartpacks:3 GB Data -- 400 incoming calls -- 400 min India calls -- 100 SMS/Day -- Tariff: Calls to India/Local: @Rs10/m, Intl.calls: @Rs39/m -- Data: @Rs3/MB"
2651,3998,,30 days,Recharge of Rs. 3998 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2652,3999,,30 days,Recharge of Rs. 3999 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2653,4994,,30 days,Recharge of Rs. 4994 by Airtel,"Smartpacks for US,UK & Canada:3 GB Data -- Unltd incoming -- 400 min India calls -- 100 SMS/Day -- Tariff: Calls to India/Local: @Rs3/m, Intl.calls: @Rs39/m -- Data: @Rs3/MB"
2654,6999,,30 days,Recharge of Rs. 6999 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
