id,cost,talktime,validity,short description,long description
14361,24,,2 days,Recharge of Rs. 24 by RelianceGSM,1 GB 3G/2G Data (un used data will not be carried forwarded)
14362,41,,28 days,Recharge of Rs. 41 by RelianceGSM,130 MB
14363,48,,2 days,Recharge of Rs. 48 by RelianceGSM,Talktime of Rs 48 + 1 GB ( (un used data will not be carried forwarded))
14364,69,,7 days,Recharge of Rs. 69 by RelianceGSM,250 MB
14365,71,,4 days,Recharge of Rs. 71 by RelianceGSM,300 MB 3G Data
14366,88,,3 days,Recharge of Rs. 88 by RelianceGSM,400 MB
14367,89,,28 days,Recharge of Rs. 89 by RelianceGSM,1 GB/ Day 3G Data
14368,95,,10 days,Recharge of Rs. 95 by RelianceGSM,350 MB 3G Data
14369,96,,3 days,Recharge of Rs. 96 by RelianceGSM,1 GB
14370,122,,5 days,Recharge of Rs. 122 by RelianceGSM,8000 Movies 35 Lacs Songs and 50K videos alongwith 2 GB 3G Data (1GB Day and 1GB night)
14371,123,,28 days,Recharge of Rs. 123 by RelianceGSM,1 Gb ( 512 MB all Time + 512 MB night)
14372,143,,7 days,Recharge of Rs. 143 by RelianceGSM,750MB 3G data. Unused data quota will be forfeited.
14373,152,,28 days,Recharge of Rs. 152 by RelianceGSM,Unltd Local & STD R-R Calls -- 3 GB 3G Data -- All R -Others calls @1p/sec -- Free Incoming Roaming
14374,153,,14 days,Recharge of Rs. 153 by RelianceGSM,1 GB 3G Data -- 60 mins calls to any network/Day 
14375,192,,21 days,Recharge of Rs. 192 by RelianceGSM,1GB Data
14376,198,,28 days,Recharge of Rs. 198 by RelianceGSM,1 GB 28 days
14377,219,,28 days,Recharge of Rs. 219 by RelianceGSM,2 GB ( 1 GB all Time + 1 Gb night)
14378,243,,28 days,Recharge of Rs. 243 by RelianceGSM,1.25 GB 3G Data. Unused data quota will be forfeited.
14379,246,,28 days,Recharge of Rs. 246 by RelianceGSM,4 GB ( 2GB all time + 2Gb night)
14380,247,,28 days,Recharge of Rs. 247 by RelianceGSM,1 GB 3G Data with Rs 50 Promo TT (valid for 7 days)
14381,252,,28 days,Recharge of Rs. 252 by RelianceGSM,1GB Data
14382,275,,28 days,Recharge of Rs. 275 by RelianceGSM,8000 Movies 35 Lacs Songs and 50K videos alongwith 3 GB 3G Data (1.5GB Day and 1.5 GB night)
14383,298,,28 days,Recharge of Rs. 298 by RelianceGSM,6 GB ( 3 GB all time + 3 GB Night)
14384,303,,28 days,Recharge of Rs. 303 by RelianceGSM,1 GB 3G Data -- 60 mins calls to any network/Day
14385,343,,28 days,Recharge of Rs. 343 by RelianceGSM,2GB 3G Data. Unused data quota will be forfeited.
14386,359,,28 days,Recharge of Rs. 359 by RelianceGSM,2.5 GB
14387,396,,90 days,Recharge of Rs. 396 by RelianceGSM,6 GB ( 3 GB all time + 3 GB Night)
14388,397,,28 days,Recharge of Rs. 397 by RelianceGSM,3 GB
14389,447,,28 days,Recharge of Rs. 447 by RelianceGSM,3.5 GB
14390,493,,28 days,Recharge of Rs. 493 by RelianceGSM,3GB 3G Data. Unused data quota will be forfeited.
14391,495,,28 days,Recharge of Rs. 495 by RelianceGSM,5 GB 3G Data
14392,498,,28 days,Recharge of Rs. 498 by RelianceGSM,4 GB
14393,549,,28 days,Recharge of Rs. 549 by RelianceGSM,4.5 GB
14394,555,,90 days,Recharge of Rs. 555 by RelianceGSM,1GB 3G Data + 60 mins calls to any network / Day
14395,595,,28 days,Recharge of Rs. 595 by RelianceGSM,5 GB 3G Data with Unlimited Free Local Onnet Mobile calls
14396,598,,28 days,Recharge of Rs. 598 by RelianceGSM,5 GB
14397,648,,28 days,Recharge of Rs. 648 by RelianceGSM,5.5 GB
14398,649,,28 days,Recharge of Rs. 649 by RelianceGSM,4 GB 3G Data
14399,693,,28 days,Recharge of Rs. 693 by RelianceGSM,5GB 3G Data. Unused data quota will be forfeited.
14400,698,,28 days,Recharge of Rs. 698 by RelianceGSM,6 GB
14401,749,,28 days,Recharge of Rs. 749 by RelianceGSM,6.5 GB
14402,786,,180 days,Recharge of Rs. 786 by RelianceGSM,Get 1GB/ DAY 3G Data 
14403,798,,28 days,Recharge of Rs. 798 by RelianceGSM,7 GB
14404,848,,28 days,Recharge of Rs. 848 by RelianceGSM,8 GB
14405,849,,28 days,Recharge of Rs. 849 by RelianceGSM,7 GB 3G Data
14406,898,,28 days,Recharge of Rs. 898 by RelianceGSM,8.5 GB
14407,949,,28 days,Recharge of Rs. 949 by RelianceGSM,9 GB
14408,998,,28 days,Recharge of Rs. 998 by RelianceGSM,9.5 GB
14409,1297,,28 days,Recharge of Rs. 1297 by RelianceGSM,10Gb 3G Data. Unused data quota will be forfeited.
14410,1298,,28 days,Recharge of Rs. 1298 by RelianceGSM,15 GB
