id,cost,talktime,validity,short description,long description
17569,24,,2 days,Recharge of Rs. 24 by Vodafone,100 MB Data @3G speed. Post 100 MB you will be charged 4p/10kb
17570,52,,5 days,Recharge of Rs. 52 by Vodafone,215 MB Data @3G speed. Post 215 MB you will be charged 4p/10kb
17571,79,,8 days,Recharge of Rs. 79 by Vodafone,315 MB Data @3G speed. Post 315 MB you will be charged 4p/10kb
17572,95,,10 days,Recharge of Rs. 95 by Vodafone,375 MB @3G speed. Post 375 MB you will be charged 4p/10kb
17573,112,,28 days,Recharge of Rs. 112 by Vodafone,250 MB 3G Core Data + 250 MB 3G Night Data (Night Data Applicable between 12AM to 06 AM)
17574,147,,15 days,Recharge of Rs. 147 by Vodafone,575 MB Data @3G speed. Post 575 MB you will be charged 4p/10kb
17575,173,,28 days,Recharge of Rs. 173 by Vodafone,1 GB Data @3G speed. Post 1 GB you will be charged 4p/10kb
17576,182,,28 days,Recharge of Rs. 182 by Vodafone,625 MB 3G Core Data + 625 MB 3G Night Data (Night Data Applicable between 12AM to 06 AM)
17577,195,,28 days,Recharge of Rs. 195 by Vodafone,1.25 GB Data @3G speed. Post 1.25 GB you will be charged 4p/10kb
17578,251,,28 days,Recharge of Rs. 251 by Vodafone,2 GB Data @3G speed. Post 2 GB you will be charged 4p/10kb
17579,292,,28 days,Recharge of Rs. 292 by Vodafone,1.5 GB 3G Core Data + 1.5 GB 3G Night Data (Night Data Applicable between 12AM to 06 AM)
17580,297,,28 days,Recharge of Rs. 297 by Vodafone,2.25 GB Data and upto 10 GB 3G Internet with hero recharge.
17581,348,,28 days,Recharge of Rs. 348 by Vodafone,3 GB Data @3G speed. Post 3 GB you will be charged 4p/10kb
17582,349,,28 days,Recharge of Rs. 349 by Vodafone,1GB 3G Data and 500 Minute Local+STD Mobile Calls
17583,397,,28 days,Recharge of Rs. 397 by Vodafone,3.5 GB Data @3G speed. Post 3.5 GB you will be charged 4p/10kb
17584,449,,28 days,Recharge of Rs. 449 by Vodafone,4 GB Data @3G speed. Post 4.5 GB you will be charged 4p/10kb
17585,497,,28 days,Recharge of Rs. 497 by Vodafone,4.5 GB Data @3G speed. Post 4.5 GB you will be charged 4p/10kb
17586,649,,28 days,Recharge of Rs. 649 by Vodafone,6.5 GB Data @3G speed. Post 6.5 GB your speed will be reduced up to 64 kbps.
17587,749,,28 days,Recharge of Rs. 749 by Vodafone,7.5 GB Data @3G speed. Post 7.5 GB your speed will be reduced up to 64 kbps.
17588,849,,28 days,Recharge of Rs. 849 by Vodafone,9.5 GB Data @3G speed. Post 9.5 GB your speed will be reduced up to 64 kbps.
17589,989,,28 days,Recharge of Rs. 989 by Vodafone,11 GB Data @3G speed. Post 11 GB your speed will be reduced up to 64 kbps.
17590,1249,,28 days,Recharge of Rs. 1249 by Vodafone,13.5 GB Data @3G speed. Post 13.5 GB your speed will be reduced up to 64 kbps.
17591,1497,,28 days,Recharge of Rs. 1497 by Vodafone,16 GB Data @3G speed. Post 16 GB your speed will be reduced up to 64 kbps.
17592,1995,,28 days,Recharge of Rs. 1995 by Vodafone,22 GB Data @3G speed. Post 22 GB your speed will be reduced up to 64 kbps.
