id,cost,talktime,validity,comments
7105,4,,1 day,20MB 2G/3G Data
7106,5,,1 day,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
7107,17,,1 day,110 MB
7108,31,,3 days,150 MB
7109,40,,5 days,200MB 2G/3G Data
7110,46,,2 days,1 GB 2G/3G Data free and beyond freebies volume based charging 5paisa/MB from 2-00 hrs to 6-00hrs. 
7111,56,,21 days,250 MB 2G/3G Data
7112,63,,28 days,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
7113,78,,5 days,2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7114,98,,10 days,1300MB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7115,103,,5 days,Free data 1GB and 140+ Channels provided by M s Digivive Services Pvt Ltd
7116,155,,17 days,1.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7117,179,,17 days,1 GB 2G/3G Data and No.of Free TV Channels equel to all Channels provided by Digivive Services Pvt. Ltd
7118,182,,17 days,1GB 2G/3G Data and 50 Free TV Channels by M s Apalya Technology
7119,198,,25 days,2.2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7120,291,,27 days,4GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7121,333,,56 days,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps"
7122,339,,26 days,Unlimited local/STD BSNL to BSNL + Local/STD BSNL to Others: 30 minutes/day and 25P/minutes after that 30 minutes/day -- Unlimited 2G/3G data (with FUP of 3 GB per day with no speed restriction and thereafter with speed restriction of 80kbps.)
7123,349,,26 days,DilKholkeBolSTV_349: Unlimited voice (Local/STD) in Home LSA -- Unlimited 2G/3G Data (speed reduced to 80kbps after 2.5 GB)
7124,378,,30 days,Unlimited (speed restricted to 80 kbps after 4 GB/day 2G/3G Data) -- On-net Unlimited Off-net 30 min/day
7125,395,,60 days,NehleperDehlaSTV_395: Unlimited 2G/3G Data (2 GB/Day.Speed reduced to 80kbps after 2 GB/day) -- Free 3000 Minutes On-net Voice (Local/STD) + Free 1800 Minutes Off-net Voice (Local/STD).(Callcharges after free calls 20ps/Min.)
7126,399,,30 days,"Unlimited 2G/3G data, Speed 80Kbps after 2 GB"
7127,443,,60 days,3 GB 2G/3G Data
7128,444,,90 days,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
7129,548,,90 days,Unlimited (speed restricted to 80 kbps after 5 GB/day 2G/3G Data)
7130,549,,30 days,6 GB 2G/3G Data
7131,561,,90 days,8GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7132,597,,180 days,6GB 2G/3G Data
7133,629,,30 days,Data Unlimited and Speed 80Kbps after 3GB
7134,821,,120 days,12GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7135,1099,,30 days,"Unlimited 2G/3G Data, without speed restriction"
7136,1197,,365 days,14GB 2G/3G Data
7137,1498,,365 days,36GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7138,1949,,90 days,21 GB 2G/3G data
7139,2399,,60 days,Data Unlimited. Speed 80Kbps after 16GB
7140,2798,,365 days,72GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7141,3099,,60 days,15 GB 2G/3G Data -- Unlimited Onnet Voice calls with Roaming + 500 Min offnet calls with roaming.
7142,3998,,365 days,110GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7143,4498,,365 days,160GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
7144,119,,26 days,Unlimited Local/STD BSNL to BSNL voice calls -- 1 GB 2G/3G Data
7145,9,,2 days,45 MB 3G data
