id,cost,talktime,validity,short description,long description
2247,26,,30 days,Recharge of Rs. 26 by Airtel,"USA,Canada,UK(F) Rs0.99/minGulf Rs6.99/minUAE Rs9/minChina Rs1.5/MinNepal Rs 5.99/minAustralia(F) 2.99/Min"
2248,67,,28 days,Recharge of Rs. 67 by Airtel,USA/CANADA AND UK (LANDLINE) @1P/SEC NEPAL @ 11p/SEC UPTO 21000 SECS
2249,103,,15 days,Recharge of Rs. 103 by Airtel,30 ISD Minutes to countries. 
2250,152,,30 days,Recharge of Rs. 152 by Airtel,60 ISD Minutes to countries
2251,496,,1 day,Recharge of Rs. 496 by Airtel,"Unlimited incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight"
2252,645,,1 day,Recharge of Rs. 645 by Airtel,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
2253,646,,1 day,Recharge of Rs. 646 by Airtel,"100min incoming,100min Local/call to India -- 500 MB data -- 100 SMS/day"
2254,995,,1 day,Recharge of Rs. 995 by Airtel,"100min incoming, 100min Local/call to India -- 500 MB data -- 100SMS/day -- Till 12:00 midnight. "
2255,997,,30 days,Recharge of Rs. 997 by Airtel,"IR Pack30mins Free incoming. Thereafter charged Incoming @Rs19/min, Outgoing @Rs39/min, Data @39p/10KB Rs15/SMS"
2256,998,,30 days,Recharge of Rs. 998 by Airtel,"IR Pack30 MB data Free. Thereafter charged @39p/10kb, Outgoing @Rs39/min, Incoming @Rs19/min. Rs15/SMS"
2257,1196,,10 days,Recharge of Rs. 1196 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2258,2496,,30 days,Recharge of Rs. 2496 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2259,2839,,30 days,Recharge of Rs. 2839 by Airtel,"Thailand Smartpack.1 GB Data -- Unlimited incomings + 299min India calls -- Tariff: Calls to India/Local @Rs10/min, Intl.calls @Rs39, SMS @Rs10, Data @10p/10KB"
2260,2995,,10 days,Recharge of Rs. 2995 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2261,2996,,10 days,Recharge of Rs. 2996 by Airtel,Free benefits: Unlimited incoming -- 3 GB data -- 100sms/Day -- 250min local/call to India -- For covered countries/tariff visit www.airtel.in/IR
2262,3995,,30 days,Recharge of Rs. 3995 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2263,3996,,30 days,Recharge of Rs. 3996 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
2264,3997,,10 days,Recharge of Rs. 3997 by Airtel,Free benefits: 250 min incoming -- 3 GB data -- 100 sms/Day -- 250 min local/call to India
2265,6999,,30 days,Recharge of Rs. 6999 by Airtel,Free benefits: unlimited incoming -- 5 GB data -- 100 sms/Day -- 500 min loc/call to India
