id,cost,talktime,validity,short description,long description
11062,5,,1 day,Recharge of Rs. 5 by Idea,20 MB Data -- Overage: 4p/10kb -- 
11063,13,,3 days,Recharge of Rs. 13 by Idea,75 MB Data -- Overage: 4p/10kb -- 
11064,19,,3 days,Recharge of Rs. 19 by Idea,110 MB Data -- Overage: 4p/10kb
11065,26,,5 days,Recharge of Rs. 26 by Idea,75 MB 4G/2G Data -- Overage: 4p/10kb
11066,53,,1 day,Recharge of Rs. 53 by Idea,1 GB 4G/2G Data -- Overage: 4p/10kb
11067,54,,28 days,Recharge of Rs. 54 by Idea,1 GB 4G/3G Data -- Overage: 4p/10kb -- Available only after Long Term Plan Recharge of MRP 1498
11068,64,,15 days,Recharge of Rs. 64 by Idea,250 MB upto 1 GB 4G/2G Data -- Overage: 4p/10kb
11069,92,,28 days,Recharge of Rs. 92 by Idea,525 MB 2G Data -- Overage: 4p/10kb
11070,96,,5 days,Recharge of Rs. 96 by Idea,1 GB 4G/2G Data -- Overage: 4p/10kb
11071,98,,20 days,Recharge of Rs. 98 by Idea,550 MB Internet -- Overage: 4p/10kb -- 
11072,106,,28 days,Recharge of Rs. 106 by Idea,1 GB 4G/3G Data -- Overage: 4p/10kb -- Available only after Long Term Plan recharge of MRP 748
11073,106,,28 days,Recharge of Rs. 106 by Idea,2 GB 4G/3G Data -- Overage: 4p/10kb -- Available only after Long Term Plan recharge of MRP 1498
11074,121,,28 days,Recharge of Rs. 121 by Idea,2.5 GB 4G/3G Data -- Overage: 4p/10kb -- Available after Long term plan recharge of MRP 748
11075,121,,28 days,Recharge of Rs. 121 by Idea,1 GB 4G/3G data -- Overage: 4p/10kb -- Available after Long Term Plan recharge of MRP 498
11077,125,,25 days,Recharge of Rs. 125 by Idea,700 MB Data -- Overage: 4p/10kb
11078,147,,28 days,Recharge of Rs. 147 by Idea,840 MB Data -- Overage: 4p/10kb
11079,148,,28 days,Recharge of Rs. 148 by Idea,450GB 2G/4G Data -- Overage: 4p/10kb
11080,149,,7 days,Recharge of Rs. 149 by Idea,2 GB 4G/2G Data -- Overage: 4p/10kb
11081,152,,28 days,Recharge of Rs. 152 by Idea,600 MB 4G/3G Data -- Overage: 4p/10kb
11083,155,,30 days,Recharge of Rs. 155 by Idea,1 GB Data -- Overage: 4p/10kb
11084,197,,30 days,Recharge of Rs. 197 by Idea,1.5 GB Data -- Overage: 4p/10kb
11085,239,,30 days,Recharge of Rs. 239 by Idea,3 GB Data -- FUP limit: 40 kbps from 3GB to 4GB and 10kbps thereafter
11086,249,,28 days,Recharge of Rs. 249 by Idea,1 GB 2G Unlimited Data [40kbps speed post 1 GB usage]
11087,252,,28 days,Recharge of Rs. 252 by Idea,1440 MB 2G Data -- Overage: 4p/10kb
11091,299,,28 days,Recharge of Rs. 299 by Idea,"1.25 GB 2G/4G data. Upto 10 GB 2G/4G data, subject to time of recharge by subscriber -- Overage: 4p/10kb"
11098,497,,28 days,Recharge of Rs. 497 by Idea,1.9 GB 2G/4G Data -- Overage: 4p/10KB
