id,cost,talktime,validity,short description,long description
10805,230,230,N.A,Recharge of Rs. 230 by Idea,Talktime of Rs. 230 for Rs. 230 recharge by Idea
10806,300,300,N.A,Recharge of Rs. 300 by Idea,Talktime of Rs. 300 for Rs. 300 recharge by Idea
10807,350,350,N.A,Recharge of Rs. 350 by Idea,Talktime of Rs. 350 for Rs. 350 recharge by Idea
10808,500,500,N.A,Recharge of Rs. 500 by Idea,Talktime of Rs. 500 for Rs. 500 recharge by Idea
10809,700,700,N.A,Recharge of Rs. 700 by Idea,Talktime of Rs. 700 for Rs. 700 recharge by Idea
10811,1000,1000,N.A,Recharge of Rs. 1000 by Idea,Talktime of Rs. 1000 for Rs. 1000 recharge by Idea
10812,1500,1500,N.A,Recharge of Rs. 1500 by Idea,Talktime of Rs. 1500 for Rs. 1500 recharge by Idea
10813,2000,2000,N.A,Recharge of Rs. 2000 by Idea,Talktime of Rs. 2000 for Rs. 2000 recharge by Idea
10814,3000,3000,N.A,Recharge of Rs. 3000 by Idea,Talktime of Rs. 3000 for Rs. 3000 recharge by Idea
10815,6000,6000,N.A,Recharge of Rs. 6000 by Idea,Talktime of Rs. 6000 for Rs. 6000 recharge by Idea
10816,10000,10000,N.A,Recharge of Rs. 10000 by Idea,Talktime of Rs. 10000 for Rs. 10000 recharge by Idea
