id,cost,talktime,validity,short description,long description
18174,14,,1 day,Recharge of Rs. 14 by Vodafone,Local 110 mins to VF
18175,15,,5 days,Recharge of Rs. 15 by Vodafone,Local/STD Mob @ 30p/min
18176,18,,6 days,Recharge of Rs. 18 by Vodafone,"Local calls to VF @15p/min, Landline Calls (Local + STD) @2.5p/sec"
18177,24,,56 days,Recharge of Rs. 24 by Vodafone,Local to Vodafone/mobile @ 1p/sec -- Landline Calls (Local + STD) @2.5p/sec.
18178,26,,7 days,Recharge of Rs. 26 by Vodafone,"All local & STD Mobile calls @35p/min, Landline Calls (Local+STD) @2.5p/sec."
18179,27,,4 days,Recharge of Rs. 27 by Vodafone,2000 secs to VF/Mobile/Landline
18180,32,,28 days,Recharge of Rs. 32 by Vodafone,"Local Mobile calls @30p/min, Landline Calls (Local+STD) @2.5p/sec."
18181,35,,3 days,Recharge of Rs. 35 by Vodafone,Local 260 mins to VF
18182,37,,14 days,Recharge of Rs. 37 by Vodafone,Local/STD Mob @ 30p/min
18183,38,,20 days,Recharge of Rs. 38 by Vodafone,"Local & STD Mobile@1p/sec, Landline @2.5p/sec"
18184,43,,28 days,Recharge of Rs. 43 by Vodafone,All Local Vodafone calls @10p/min
18185,48,,28 days,Recharge of Rs. 48 by Vodafone,"All STD Mobile calls @30p/min, Landline Calls (Local + STD) @2.5p/sec."
18186,52,,28 days,Recharge of Rs. 52 by Vodafone,"Local + STD to VF/mobile @ 30p/min, Landline Calls(Local+STD) @2.5p/sec."
18187,56,,28 days,Recharge of Rs. 56 by Vodafone,Local Mobile calls @30p/min -- Landline Calls (Local + STD) calls @2.5p/sec.
18188,62,,28 days,Recharge of Rs. 62 by Vodafone,"Local Vodafone @15p/min, Landline Calls (Local + STD) @2.5p/sec"
18189,63,,45 days,Recharge of Rs. 63 by Vodafone,Local Mobile calls @35p/min -- Landline Calls (Local + STD) calls @2.5p/sec.
18190,64,,5 days,Recharge of Rs. 64 by Vodafone,Local 480 mins to VF
18191,69,,10 days,Recharge of Rs. 69 by Vodafone,Local/STD 8000 secs to V/Mobile/Landline
18192,73,,28 days,Recharge of Rs. 73 by Vodafone,"Local & STD Mobile calls @35p/min, Landline Calls (Local + STD) @2.5p/sec."
18193,78,,35 days,Recharge of Rs. 78 by Vodafone,"Local to Vodafone/mobile calls @30p/min, Landline Calls (Local + STD) @2.5p/sec."
18194,82,,11 days,Recharge of Rs. 82 by Vodafone,110 mins to VF/Mobile/Landline
18195,84,,28 days,Recharge of Rs. 84 by Vodafone,"Local Vodafone calls @10p/min, Landline Calls (Local + STD) @2.5p/sec"
18196,88,,35 days,Recharge of Rs. 88 by Vodafone,"Local & STD Mobile calls @35p/min, Landline Calls (Local + STD) @2.5p/sec."
18197,91,18,28 days,Recharge of Rs. 91 by Vodafone,"Local to VF@20p/min,Landline Calls(Local+STD) at 2.5p/sec"
18198,92,,28 days,Recharge of Rs. 92 by Vodafone,7500 mins to VF(11 PM to 8 AM)
18199,93,,45 days,Recharge of Rs. 93 by Vodafone,"Local Mobile calls@30p/min, Landline Calls (Local + STD) @2.5p/sec."
18200,94,,14 days,Recharge of Rs. 94 by Vodafone,Local/STD 11000 secs to V/Mobile/Landline
18201,98,,14 days,Recharge of Rs. 98 by Vodafone,Local 200 mins to VF/Mobile/Landline
18202,99,,35 days,Recharge of Rs. 99 by Vodafone,"Local & STD Mobile calls @30p/min, Landline Calls (Local + STD) calls @2.5p/sec."
18203,109,,56 days,Recharge of Rs. 109 by Vodafone,"Local Vodafone calls @15p/min, Landline Calls (Local + STD) calls @2.5p/sec"
18204,117,,21 days,Recharge of Rs. 117 by Vodafone,Local/STD 14000 secs to V/Mob/Landline
18205,123,,7 days,Recharge of Rs. 123 by Vodafone,Unlimited Local Vodafone Calls (upto 1200 minutes)
18206,154,,28 days,Recharge of Rs. 154 by Vodafone,Local 600 mins to Vodafone
18207,199,,28 days,Recharge of Rs. 199 by Vodafone,"Local/STD 25,000 secs to VF/Mobile/Landline"
18208,201,,28 days,Recharge of Rs. 201 by Vodafone,Local 500 mins to V/Mobile/Landline
18209,294,,35 days,Recharge of Rs. 294 by Vodafone,800 Local Mins
18210,296,,28 days,Recharge of Rs. 296 by Vodafone,Local 1850 mins to Vodafone
18211,299,,28 days,Recharge of Rs. 299 by Vodafone,Local/STD  45000 secs to VF/Mobile/Landline
18212,699,,28 days,Recharge of Rs. 699 by Vodafone,"81,000 secs to V/Mobile/Landline (Local/STD)"
