id,cost,talktime,validity,short description,long description
17773,351,351,N.A,Recharge of Rs. 351 by Vodafone,2 Local SMS
17775,625,625,N.A,Recharge of Rs. 625 by Vodafone,2 local SMS (1 day) 
17778,777,777,N.A,Recharge of Rs. 777 by Vodafone,2 Local SMS (1 day)
17779,786,786,N.A,Recharge of Rs. 786 by Vodafone,2 local SMS (1 day)
17781,1001,1001,N.A,Recharge of Rs. 1001 by Vodafone,2 Local SMS
17794,111,101,1 day,Recharge of Rs. 111 by Vodafone,2 Local SMS
17799,204,200,N.A,Recharge of Rs. 204 by Vodafone,2 Local SMS (Validity : 1 day)
17800,222,210,N.A,Recharge of Rs. 222 by Vodafone,2 local SMS
17803,555,479.61,N.A,Recharge of Rs. 555 by Vodafone,2 Local SMS
17804,67,10,28 days,Recharge of Rs. 67 by Vodafone,Local calls @30p/min
17805,104,20,28 days,Recharge of Rs. 104 by Vodafone,150 MB data + 150 MB night data (12am-6am) -- Call 1 local Vodafone buddies @20p/min -- Option of 60 MB data loan -- T&C Apply
17806,184,20,28 days,Recharge of Rs. 184 by Vodafone,300 MB data + 300 MB night data (12am-6am) -- Call 1 local Vodafone buddies @20p/min -- Option of 60MB data loan -- T&C Apply
17807,335,20,28 days,Recharge of Rs. 335 by Vodafone,1 GB data + 1GB night data (12am-6am) -- Call 1 local Vodafone buddies @20p/min --  Option of 60MB data loan -- T&C Apply
17811,502,,30 days,Recharge of Rs. 502 by Vodafone,"500 MB @4G speed. Post 500 MB you will be charged 4p/10kb, 500 local+STD Mins & 500 Local & National SMS"
17812,1002,,30 days,Recharge of Rs. 1002 by Vodafone,"1000 MB @4G speed. Post 1000 MB you will be charged 4p/10kb, 1000 local+STD Mins & 1000 Local & National SMS"
17908,129,,N.A,Recharge of Rs. 129 by Vodafone,Blackberry 129
