id,cost,talktime,validity,comments
1477,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
1479,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
1480,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
1482,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
1484,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
1485,60,48,N.A,Talktime of Rs. 48 for Rs. 60 recharge by Airtel
1489,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
1491,110,90.22,N.A,Talktime of Rs. 90.22 for Rs. 110 recharge by Airtel
1492,120,98.69,N.A,Talktime of Rs. 98.69 for Rs. 120 recharge by Airtel
1493,140,115.64,N.A,Talktime of Rs. 115.64 for Rs. 140 recharge by Airtel
1494,150,140,N.A,Talktime of Rs. 140 for Rs. 150 recharge by Airtel
1495,170,141.07,N.A,Talktime of Rs. 141.07 for Rs. 170 recharge by Airtel
1496,200,190,N.A,Talktime of Rs. 190 for Rs. 200 recharge by Airtel
1497,220,210,N.A,Talktime of Rs. 210 for Rs. 220 recharge by Airtel
1499,400,395,N.A,Talktime of Rs. 395 for Rs. 400 recharge by Airtel
