id,cost,talktime,validity,short description,long description
5072,9,,30 days,Recharge of Rs. 9 by BSNL,Voice call to local/STD any network calls @30paise/minute -- STV benefit is available in home LSA only
5073,22,,90 days,Recharge of Rs. 22 by BSNL,All local/STD voice calls in home LSA @30 Paisa/Min
5074,29,,90 days,Recharge of Rs. 29 by BSNL,Voice call to local/STD any network calls @30paise/minute -- STV benefit is available in home LSA only
5075,42,,28 days,Recharge of Rs. 42 by BSNL,For Per Minute plan: (a)10paisa/min for On-net voice calls(Local/STD) -- (b) 30paisa/min for Offnet voice calls (Local/STD) -- For Per Second plan: (a)1paisa/3sec for On-net voice calls(Local/STD) -- (b) 2paisa/3 sec for OffnetVoice calls (Local/STD) -- STV feature available in home LSA only
5076,58,,8 days,Recharge of Rs. 58 by BSNL,5600 Sec Local or STD to any network
5077,65,,27 days,Recharge of Rs. 65 by BSNL,Local onnet voice calls @15paise/minute -- STV benefit available in home LSA only.
5078,88,,60 days,Recharge of Rs. 88 by BSNL,For Per Minute plan: (a)10paisa/min for On-net voice calls(Local/STD) -- (b) 30paisa/min for Offnet voice calls (Local/STD) -- For Per Second plan: (a)1paisa/3sec for On-net voice calls(Local/STD) -- (b) 2paisa/3 sec for OffnetVoice calls (Local/STD) -- STV benefit is avilable in home LSA only.
5079,135,,28 days,Recharge of Rs. 135 by BSNL,275 min free to any network (Local/STD)
5080,142,,30 days,Recharge of Rs. 142 by BSNL,Unlimited On net(local/STD) voice calls + Off-net(local/STD) voice calls upto 20 minutes per day -- This STV is applicable only for all free plan-149 customers
5081,159,,30 days,Recharge of Rs. 159 by BSNL,20300 sec Local/STD any net
5082,164,,5 days,Recharge of Rs. 164 by BSNL,Unlimited Local STD Onnet Voice call.STV benefit available in home LSA only.
5083,344,,24 days,Recharge of Rs. 344 by BSNL,Unlimited Local Onnet Voice call.STV benefit available in home LSA only.
5084,359,,60 days,Recharge of Rs. 359 by BSNL,52000 sec Local/STD any net
5085,449,,84 days,Recharge of Rs. 449 by BSNL,1400 min. Local/STD any net
5086,574,,27 days,Recharge of Rs. 574 by BSNL,Unlimited Local Onnet call and 500 minutes Local STD any net Voice call.STV benefit available in home LSA only.
5087,699,,28 days,Recharge of Rs. 699 by BSNL,Unlimited Local STD onnet Voice call. STV benefit available in home LSA only.
5088,894,,81 days,Recharge of Rs. 894 by BSNL,Unlimited Local Onnet Voice call.STV benefit available in home LSA only.
5089,1494,,81 days,Recharge of Rs. 1494 by BSNL,Unlimited Local Onnet call and 1500 minutes Local STD any net Voice call.STV benefit available in home LSA only.
