id,cost,talktime,validity,comments
13507,10,7.7,N.A,Talktime of Rs. 7.7 for Rs. 10 recharge by Reliance GSM
13508,20,15.39,N.A,Talktime of Rs. 15.39 for Rs. 20 recharge by Reliance GSM
13509,30,23.09,N.A,Talktime of Rs. 23.09 for Rs. 30 recharge by Reliance GSM
13511,40,31.78,N.A,Talktime of Rs. 31.78 for Rs. 40 recharge by Reliance GSM
13513,50,40.48,N.A,Talktime of Rs. 40.48 for Rs. 50 recharge by Reliance GSM
13514,60,49.17,N.A,Talktime of Rs. 49.17 for Rs. 60 recharge by Reliance GSM
13518,100,83.96,N.A,Talktime of Rs. 83.96 for Rs. 100 recharge by Reliance GSM
13519,110,92.65,N.A,Talktime of Rs. 92.65 for Rs. 110 recharge by Reliance GSM
13520,120,101.35,N.A,Talktime of Rs. 101.35 for Rs. 120 recharge by Reliance GSM
13521,150,127.43,N.A,Talktime of Rs. 127.43 for Rs. 150 recharge by Reliance GSM
13522,200,170.91,N.A,Talktime of Rs. 170.91 for Rs. 200 recharge by Reliance GSM
13523,210,179.61,N.A,Talktime of Rs. 179.61 for Rs. 210 recharge by Reliance GSM
13524,240,205.7,N.A,Talktime of Rs. 205.7 for Rs. 240 recharge by Reliance GSM
13526,300,257.87,N.A,Talktime of Rs. 257.87 for Rs. 300 recharge by Reliance GSM
13527,400,344.83,N.A,Talktime of Rs. 344.83 for Rs. 400 recharge by Reliance GSM
13528,1000,866.57,N.A,Talktime of Rs. 866.57 for Rs. 1000 recharge by Reliance GSM
13529,2000,1736.13,N.A,Talktime of Rs. 1736.13 for Rs. 2000 recharge by Reliance GSM
