id,cost,talktime,validity,short description,long description
9730,6,,1 day,Recharge of Rs. 6 by Idea,Local/STD Mobile Call @ 30p/min -- 
9731,6,,1 day,Recharge of Rs. 6 by Idea,All roaming outgoing calls(Local and STD) @60 paisa/Min -- Applicable only onto Idea Network -- 
9732,7,,1 day,Recharge of Rs. 7 by Idea,Unlimited Local I2I Night Calling (Timing-12 AM to 6 AM) -- 
9733,8,,1 day,Recharge of Rs. 8 by Idea,Unlimited Local I2I Night Calling (Timing-12 AM to 6 AM) -- 
9734,19,,14 days,Recharge of Rs. 19 by Idea,All Local Mobile Calls @30p/min -- 
9735,22,,2 days,Recharge of Rs. 22 by Idea,35 Local STD Mins -- 
9736,27,,60 days,Recharge of Rs. 27 by Idea,All Local/STD Calls @ 1.2p/secs  -- 
9737,33,,21 days,Recharge of Rs. 33 by Idea,Local Mobile Calls @ 30p/min  -- 
9738,34,,28 days,Recharge of Rs. 34 by Idea,Local I2I Calls @ 10p/min -- 
9739,39,,14 days,Recharge of Rs. 39 by Idea,All Local/ STD calls @ 30p/min -- 
9740,42,,28 days,Recharge of Rs. 42 by Idea,Local Mobile Calls @ 30p/min -- 
9741,43,,28 days,Recharge of Rs. 43 by Idea,All local/Std Idea calls @15p/min -- 
9742,53,,28 days,Recharge of Rs. 53 by Idea,Home outgoing call tariffs while Roaming on Idea network. Roam Local / STD calls will be charged at Home Local / STD rates ( including benefits of Home STV Rate cutter / Unlimited packs) -- 
9743,55,,7 days,Recharge of Rs. 55 by Idea,90 Local/ STD Mins -- 
9744,58,,21 days,Recharge of Rs. 58 by Idea,All Local/ STD calls @ 30p/min -- 
9745,67,,21 days,Recharge of Rs. 67 by Idea,Local/STD Mobile Calls @ 30p/min -- 
9746,74,,28 days,Recharge of Rs. 74 by Idea,"All Local/ STD calls @ 30p/min, 1st 2mins @ 2p/sec -- "
9747,78,,28 days,Recharge of Rs. 78 by Idea,Local/STD Mobile Calls @ 30p/min -- 
9748,99,,28 days,Recharge of Rs. 99 by Idea,250 Local/STD Mobile mins -- 
9749,109,,28 days,Recharge of Rs. 109 by Idea,190 Local/ STD Mins -- 
9750,145,,21 days,Recharge of Rs. 145 by Idea,"Unlimited Idea local/STD mobile calls --  Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs. 0.10P/Min  -- "
9751,199,,28 days,Recharge of Rs. 199 by Idea,550 Local/ STD Mobile mins -- 
9752,296,,18 days,Recharge of Rs. 296 by Idea,"Unlimited Local/STD Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable in Case 296 & Rs. 0.10P/Min in case of MRP 244/396/496/796/996/449/299 -- "
9753,346,,21 days,Recharge of Rs. 346 by Idea,"Unlimited Local/STD Mobile Calls -- Commercial activity will mean customers using the said product for calling 100 unique callers in a week or more than 300 mins in a day or 1200 mins in a week. For any customer found violating any of these conditions, tariff @ Rs 0.30/min will be applicable in Case 347 & Rs. 0.10P/Min in case of MRP 147 -- "
