id,cost,talktime,validity,short description,long description
5517,4,,1 day,Recharge of Rs. 4 by BSNL,20MB 2G/3G Data
5518,5,,1 day,Recharge of Rs. 5 by BSNL,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
5519,14,,1 day,Recharge of Rs. 14 by BSNL,90 MB 2G/3G Data
5520,31,,3 days,Recharge of Rs. 31 by BSNL,150 MB
5521,40,,7 days,Recharge of Rs. 40 by BSNL,200 MB 2G/3G Data -- Charges after free usage: 2p/10KB -- 
5522,46,,2 days,Recharge of Rs. 46 by BSNL,1 GB 2G/3G Data and beyond freebies volume based charging 5paisa/MB from 2-00 hrs to 6-00hrs. 
5523,56,,21 days,Recharge of Rs. 56 by BSNL,250 MB 2G/3G
5524,63,,28 days,Recharge of Rs. 63 by BSNL,2G/3G Data @9paise/MB (02-00hrs to 6-00 Hrs)
5525,98,,10 days,Recharge of Rs. 98 by BSNL,1300MB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5526,155,,17 days,Recharge of Rs. 155 by BSNL,1.5GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5527,179,,17 days,Recharge of Rs. 179 by BSNL,1 GB 2G/3G Data and No.of Free TV Channels equel to all Channels provided by Digivive Services Pvt. Ltd
5528,182,,17 days,Recharge of Rs. 182 by BSNL,1GB 2G/3G Data and 50 Free TV Channels by M s Apalya Technology
5529,198,,25 days,Recharge of Rs. 198 by BSNL,2.2GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5530,291,,27 days,Recharge of Rs. 291 by BSNL,4GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5531,333,,56 days,Recharge of Rs. 333 by BSNL,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps"
5532,339,,26 days,Recharge of Rs. 339 by BSNL,Unlimited local/STD BSNL to BSNL + Local/STD BSNL to Others: 30 minutes/day and 25P/minutes after that 30 minutes/day -- Unlimited 2G/3G data (with FUP of 3 GB per day with no speed restriction and thereafter with speed restriction of 80kbps.)
5533,349,,26 days,Recharge of Rs. 349 by BSNL,DilKholkeBolSTV_349: Unlimited voice (Local/STD) in Home LSA -- Unlimited 2G/3G Data (speed reduced to 80kbps after 2.5 GB)
5534,378,,30 days,Recharge of Rs. 378 by BSNL,Unlimited (speed restricted to 80 kbps after 4 GB/day 2G/3G Data) -- On-net Unlimited Off-net 30 min/day
5535,395,,60 days,Recharge of Rs. 395 by BSNL,NehleperDehlaSTV_395: Free 3000 minutes On net voice (Local/STD) + free 1800 minutes offnet (Local/STD) after free minutes call charge @20p/min -- Unlimited 2G/3G data (speed reduced to 80kbps after 2 GB/day)
5536,443,,60 days,Recharge of Rs. 443 by BSNL,3 GB 2G/3G Data
5537,444,,90 days,Recharge of Rs. 444 by BSNL,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
5538,548,,90 days,Recharge of Rs. 548 by BSNL,Unlimited (speed restricted to 80 kbps after 5 GB/day 2G/3G Data)
5539,549,,30 days,Recharge of Rs. 549 by BSNL,6 GB 2G/3G Data
5540,561,,90 days,Recharge of Rs. 561 by BSNL,8GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5541,597,,180 days,Recharge of Rs. 597 by BSNL,6GB 2G/3G Data
5542,629,,30 days,Recharge of Rs. 629 by BSNL,Data Unlimited and Speed 80Kbps after 3GB
5543,821,,120 days,Recharge of Rs. 821 by BSNL,12GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5544,1099,,30 days,Recharge of Rs. 1099 by BSNL,"Unlimited 2G/3G Data, without speed restriction"
5545,1197,,365 days,Recharge of Rs. 1197 by BSNL,14GB 2G/3G Data
5546,1498,,365 days,Recharge of Rs. 1498 by BSNL,36GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5547,1949,,270 days,Recharge of Rs. 1949 by BSNL,40GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5548,2399,,60 days,Recharge of Rs. 2399 by BSNL,Data Unlimited. Speed 80Kbps after 16GB
5549,2798,,365 days,Recharge of Rs. 2798 by BSNL,72GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5550,3099,,60 days,Recharge of Rs. 3099 by BSNL,15 GB 2G/3G Data -- Unlimited Onnet Voice calls with Roaming + 500 Min offnet calls with roaming.
5551,3998,,365 days,Recharge of Rs. 3998 by BSNL,110GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5552,4498,,365 days,Recharge of Rs. 4498 by BSNL,160GB  2G/3G Data -- Double data offer from 15 to 20 Aug 2017
5553,139,,26 days,Recharge of Rs. 139 by BSNL,Unlimited Local/STD BSNL to BSNL voice calls -- 1 GB 2G/3G Data
