id,cost,talktime,validity,comments
3961,779,779,7 days,Outgoing Rs 40/min and Incoming Rs 30/min. Applicable only on selected countries and Operators
4019,399,,28 days,"Unlimited Local + STD all calls (T&C apply) -- 1.25 GB data, For 4G HS + 4G SIM get 1 GB/day"
4022,499,,28 days,"Unlimited Local+STD all calls (T&C apply) -- 2 GB data, For 4G HS + 4G SIM, get 1.25 GB/day"
4024,648,,27 days,"Unlimited Local+STD all calls (T&C apply) -- 3.5GB data; For 4G HS+4G SIM, get 2.5GB/day"
4028,899,,27 days,"Unlimited Local+STD all calls (T&C apply) -- 6 GB data; For 4G HS+4G SIM, get 3.5GB/day"
4032,1198,,27 days,"Unlimited Local+STD all calls (T&C apply) -- 9 GB data; For 4G HS+4G SIM, get 5 GB/day"
4035,23,,1 day,Unltd Local +STD Airtel Mobile Calls -- 100 MB(4G H/S) or 50 MB (Non-4G H/S)
4036,57,,7 days,Unltd Local + STD Airtel Mobile Calls -- 250 MB(4G H/S) or 50 MB(Non-4G H/S)
4037,87,,7 days,Unltd Local +STD Airtel mobile calls + 100 Min Airtel to Other Calls -- 250 MB(4G H/S) or 50 MB(Non-4G H/S)
4038,244,,28 days,"Unlimited Local + STD Airtel to Airtel Mobile calls -- 50 MB data.For 4G Handset+ 4G SIM,extra 1GB Data -- T&C apply"
