id,cost,talktime,validity,short description,long description
6555,4,,1 day,Recharge of Rs. 4 by BSNL,Free data 20MB.Free data is also available in National Roaming. Data charges beyond free usage is 3 paise per 10KB and for APN bsnlstream it is 25p per MB.However data charges while roaming in MTNL area is 3 paise 1KB
6556,17,,1 day,Recharge of Rs. 17 by BSNL,110 MB 2G/3G
6557,21,,1 day,Recharge of Rs. 21 by BSNL,Unlimited local Calls to BSNL Numbers + 200 MB Data
6558,29,,3 days,Recharge of Rs. 29 by BSNL,150 MB 2G/3G
6559,39,,28 days,Recharge of Rs. 39 by BSNL,200 MB 2G/3G Data -- Free data is also available in National Roaming. Data charges beyond free usage is 3p per 10KB and for APN bsnlstream it is 25p per MB.However data charges while roaming in MTNL area is 3p per KB.
6560,56,,21 days,Recharge of Rs. 56 by BSNL,250 MB 2G/3G Data
6561,68,,28 days,Recharge of Rs. 68 by BSNL,500 MB 2G/3G Data 
6562,98,,28 days,Recharge of Rs. 98 by BSNL,1 GB 2G/3G Data 
6563,103,,5 days,Recharge of Rs. 103 by BSNL,1 GB 2G/3G data and free TV channels
6564,139,,26 days,Recharge of Rs. 139 by BSNL,UNLIMITED Voice Call (Local/STD) to BSNL numbers -- 1 GB 2G/3G DATA
6565,156,,10 days,Recharge of Rs. 156 by BSNL,3.2GB 2G/3G Data. Data charges after freebies 3P/10KB
6566,178,,17 days,Recharge of Rs. 178 by BSNL,1 GB 2G/3G data and free TV channels
6567,179,,17 days,Recharge of Rs. 179 by BSNL,1 GB 2G/3G data and free TV channels
6568,182,,17 days,Recharge of Rs. 182 by BSNL,1 GB 2G/3G data and free TV channels
6569,333,,56 days,Recharge of Rs. 333 by BSNL,"Triple Ace_333: 3 GB/Day 2G/3G Data, Post 3GB/day unlimited internet @ 80kbps."
6570,339,,26 days,Recharge of Rs. 339 by BSNL,UNLIMITED DATA (3GB/day) without speed restriction -- All BSNL Calls FREE + 30 Min/day free Call to other N/w (beyond call@25P/Min)
6571,349,,26 days,Recharge of Rs. 349 by BSNL,"Dil Khol ke Bol STV_349: Unlimited Local/STD calls to any network in home LSA -- 2.5GB 2G/3G Data, Post 2.5GB unlimited internet @ 80kbps"
6572,395,,60 days,Recharge of Rs. 395 by BSNL,"Nehle per Dehla STV_395: 3000 minutes onnet Local/STD Voice calls in home LSA. After free minutes call charges as per base plan -- 1800 minutes offnet Local/STD Voice calls in home LSA. After free minutes call charges @20 paise/min from main a/c -- 2GB/Day 2G/3G Data, Post 2GB/day unlimited internet @ 80kbps -- Data freebies is available in National roaming also"
6573,444,,90 days,Recharge of Rs. 444 by BSNL,"Chaukka_444: 4 GB/Day 2G/3G Data, Post 4GB/day unlimited internet @ 80kbps"
6574,549,,30 days,Recharge of Rs. 549 by BSNL,6 GB 2G/3G Data
6575,561,,90 days,Recharge of Rs. 561 by BSNL,8GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
6576,821,,120 days,Recharge of Rs. 821 by BSNL,12GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
6577,1099,,30 days,Recharge of Rs. 1099 by BSNL,Unlimited 2G/3G data usage.Free data is also available in national roaming.
6578,1499,,365 days,Recharge of Rs. 1499 by BSNL,36GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
6579,1949,,270 days,Recharge of Rs. 1949 by BSNL,40GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB -- Double data offer from 15 to 20 Aug 2017
6580,2799,,365 days,Recharge of Rs. 2799 by BSNL,72GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
6581,3999,,365 days,Recharge of Rs. 3999 by BSNL,110GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
6582,4499,,365 days,Recharge of Rs. 4499 by BSNL,160GB 2G/3G data available both in home LSA and National Roaming. Data charge beyond freebies is 3paise/10KB. -- Double data offer from 15 to 20 Aug 2017
