id,cost,talktime,validity,short description,long description
11777,14,,28 days,Recharge of Rs. 14 by Idea,Rate cutter : 2G/3G Data benifits @1p/40KB -- 
11814,113,,28 days,Recharge of Rs. 113 by Idea,325 MB Day Data + 325 MB Night Data -- Overage: 4p/10KB
11817,131,,1 Weekend,Recharge of Rs. 131 by Idea,1 GB over 1 weekend -- Validity: 1 weekend (1 Saturday and 1 Sunday within the span of 7 days); Starts from 00:00:00 hours on Saturday and ends on 23:59:59 hours on Sunday)
11826,296,,28 days,Recharge of Rs. 296 by Idea,1GB Day + 1GB Night -- Overage: 4p/10KB
11829,431,,4 Weekends,Recharge of Rs. 431 by Idea,4 GB over 4 weekends -- Validity: 4 weekends (4 Saturdays & 4 Sundays within the span of 28 days); Starts from 00:00:00 hours on Saturday and ends on 23:59:59 hours on Sunday)
11830,451,,28 days,Recharge of Rs. 451 by Idea,2 GB -- Overage: 4p/10KB
11833,649,,28 days,Recharge of Rs. 649 by Idea,"Unlimited upto 3.25 GB -- FUP limit: 40KBPS post 3.25 GB, 20KBPS post 4.25 GB"
11836,851,,28 days,Recharge of Rs. 851 by Idea,"Unlimited upto 5 GB -- FUP limit: 40KBPS post 5 GB, 20KBPS post 6 GB"
11839,1251,,28 days,Recharge of Rs. 1251 by Idea,"Unlimited upto 10 GB -- FUP limit: 40KBPS post 10 GB, 20KBPS post 11 GB"
11841,1501,,28 days,Recharge of Rs. 1501 by Idea,"Unlimited upto 12 GB -- FUP limit: 40KBPS post 12 GB, 20KBPS post 13 GB"
